,filt_42,filt_152
nup,0.011733765421339717,0.0004444040286426361
ota,0.03604611090832339,0.003521913416235049
soh,0.0237259095181422,0.006061924019314605
rls,0.010859323044617971,0.0012439603451639414
ahg,0.054887419939041136,0.0
süh,0.0,0.0
ftu,0.005802270188915396,0.001794524044319252
cay,0.0025321226567029953,0.0
Fab,0.04098950322717428,0.014411784559488296
"e),",0.01649555331096053,0.004926822264678776
e; ,0.007733072116489402,0.002333646059581434
ißz,0.0034409013111144303,0.0019217141438275577
röf,0.036603843547285284,0.014799832711882956
töd,0.009572812571638712,0.0017757091102086836
g –,0.0056371007600784315,0.013086230288324662
 sü,0.020976951225690307,0.0030717779404117857
rnh,0.015144679333186813,0.0006855743542675757
gwä,0.03779844045639038,0.0
Pur,0.0,0.007475318759679795
a-:,0.0,0.0
 jü,0.018088170741687615,0.0009226220781873972
"K.,",0.0743195409886539,0.00499302866436275
kpf,0.0,0.0
b s,0.02973211570031055,0.002039843562534201
fga,0.002888956152339827,0.0010449878624355306
bäu,0.012321007780101673,0.00013877830765283617
sud,3.355347767605313e-05,0.010322730456079756
ftg,0.00010305450996384025,0.004768994510717069
nn‹,0.0,0.0
"m-,",0.0,0.0
äß.,0.0,0.0
h L,0.005035849104366119,0.0036365177695560887
og;,0.001043739845044911,0.0
; »,0.0083616069143939,0.0017312959109137699
"y«,",0.03269815444946289,0.11215016841888428
ült,0.0041089496084836105,0.0010254096257715272
"pa,",0.04659709046353345,0.008920295026015353
tae,0.0,0.0
llä,0.0255048135004472,0.00022192457981873304
z o,0.0024733252401621837,0.0009371913016229024
ew ,0.03069489945967992,0.0
0. ,0.003846581932157278,0.10805705238599331
rek,0.015277310468193788,0.0011238687192627157
bef,0.025302698196529146,0.005235849100274772
sdn,0.008444459034273257,0.0
Bir,0.028708717960398644,0.03490310162305832
cis,0.0,0.0
wto,0.0,0.0
x u,0.008068323099555878,0.007556835046181312
ors,0.017469474740796815,0.004547766024553435
arh,0.01808141874930551,0.0011801695781609705
Män,0.026075720760262513,0.018066827616287577
zwa,0.02102154684212724,0.029881752768945974
tös,0.0010538447415456176,0.0017749238293617963
– n,0.02073126412300474,0.011171571042834092
ukr,0.00062291428912431,0.0008663442131364718
psk,0.0,0.0
efv,0.013607972301542759,0.0
Wed,0.024042603082489223,0.005456838277258122
h R,0.010280988564772997,0.004150405788095668
